id,description
1,"Producer looking for rapper on campus -  Just want some rappers to link up and hop on my beats so I can get better at producing and mixing"
2,"Looking for bassist/guitarist - A drummer and I are looking for a bassist or guitarist to play in our pop punk band based out of San Marcos. I am a singer who plays bass and guitar, but we need another member who can complete our trio by playing either bass or guitar. We are both students at Texas State, so we aren’t trying to do anything too serious as of now, just trying to jam and rehearse often and play some shows here and there."
3,"Looking for players for my co-ed intramural soccer team - Looking for players who want to play for my co-ed intramural soccer team team. We play on Wednesdays at 6PM. We’re in the B league so it’s not super competitive and we’re generally a chill bunch. You don’t have to be great or even good, you just have to want to have fun. We’re looking for primarily girls since we need more of them right now, but guys are welcome to join as well. Shoot me a PM and I will give you the details so you can join on IM leagues."
4,"Looking For Podcast Guest - Hello Bobcats, we are doing a weekly podcast and was hoping to find other txstate students to make friends and join us on our podcast. We talk about literally anything so dont be afraid to be open and laugh along with stupid stories and stuff, We saw the other post earlier and thought it was a good idea and made our own post."
5," looking for someone to go to the rec center with tues & thur afternoon/evening (maybe some Sundays too)
I don't really do cardio. I do some yoga, mostly just hit the weight room a lot. Just looking for someone to keep my motivation up and so I don't have to go alone!"
6,"looking for gamers - Hey guys! I'm a senior here and looking for some people to online game with! I play on PS4 and Xbox One and lately I've been playing a lot of Destiny. Looking for some people to game with! Let me know! Gamertag and PSN: Doughboy8792"
7,"Looking for CS:GO players - Hello fellow Bobcats. I (Wombutt) am looking for ATLEAST 3 individuals interested in playing in a semi competitive Counter Strike collegiate league for the fall semester. I am only Nova 3, so rank isn't a factor, just a willingness to play! Should be able to find me on steam @Wombutt or shoot me a message on here. Many thanks! P.S. Also always looking for people to start up some CSL teams (SC2, League, Dota2, Hearthstone)"
8,"Looking for experienced musicians for new band - Hey guys, I was looking to find some people who are well experienced in playing their insturments as well as having good stage presense. I, along with another texas state student who will play keys/synth, were wanting to form a full peice band with a sound similar to this 
So here's the part where i talk about us and convince you to join us on this endevor, He is a well versed musician and he writes and produces much of his own music. He is super dedicated and makes time even when he is busy. I have been in a few bands that have made quite a name for themselves in my home town. Those bands have also attracted mulitple producers in the past. I was a singer for most of these bands and that is my main interest. I've been a singer for all my life and have taken stage presence classes as well as vocal lessons. I have had stage exposure and im a HUGE showman, i love to get the crowd going and hvaing a good time.
He and I are recording a CD currently and this is more of a side project, but we still make time for this project and make it bigger than just a side project. Currently we need : Lead Guitar, Rhythm Guitar, Bass, and Drums. Vocals and Key Parts will be covered by us. Lets make some awesome music together! Contact me via pm!"
9,"Looking for a lawschool library buddy - Hey! I'm a law school grad (harvard 2009) and a ut alumnus - back in town to use the law library and actually become a lawyer. Don't know anyone here so thought I'd say hello - in case anyone wants to grab a cup of coffee that would be rad!"
10,"Looking for a beginner racquetball partner/player - I just started playing racquetball, and am not very good at all, but would like to find someone else who is also just starting out to play with. Courts at Gregory Gym are free for student use -- all you need is your own racket rackets are available at the front desk. PM me if you're interested and want to compare schedules."
11,"Looking for a skater group on campus / in Austin - Hey, I'm looking to get a group together to ride sometime before it gets too cold. Maybe there's already a group out there, but I'd love to be a part of it. Thanks"
12,"Looking for someone to mentor a newbie at the gym - Hey y'all, I'm going to be attending as a freshman this fall. I'm living on campus (Jester E) so I have easy access to the gym. I want to start lifting weights and get in shape, but I don't know how to start. There is loads of info online but I thought I'd benefit more with help IRL, so I was wondering if there was anyone who'd be willing to show me the ropes. Thanks. (Also, I dunno if this is the right tag to post this under but I thought it fit best, apologies if it isn't.) Also forgot to mention I'm a dude, if that matters."
13,"Looking for a workout partner -  Hey guys, as the title states I'm looking for a workout partner. I lifted all summer then when school started I took a break. I've been itching to get back to lifting and was seeing if anybody would want to workout together. PM me if you're interested"
